image,label
ea7b6656-3f84-4eb3-9099-23e623fc1018,T-Shirt
ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa,T-Shirt
3b86d877-2b9e-4c8b-a6a2-1d87513309d0,Shoes
5d3a1404-697f-479f-9090-c1ecd0413d27,Shorts
b0c03127-9dfb-4573-8934-1958396937bf,Shirt
4c8f245e-a039-46fd-a6b9-1bb51e83fc05,T-Shirt
c995c900-693d-4dd6-8995-43f3051ec488,Pants
bf78527f-0734-44fd-a968-f6c32c12d61e,Shoes
70045b01-b350-4918-be74-2f627290ad7a,Skirt
61bbb3a2-2ee0-47bd-b3f9-2675b3076302,Shoes
08215318-faff-4037-bee9-5bceb0af7747,Shoes
95609fcf-b2c2-4f35-8454-a308262e30ea,T-Shirt
5dcffea5-5111-4397-b9ed-313b41bdeea8,Shorts
1b2ace0a-382e-4b87-8e9d-35cbcfac636b,Outwear
d44cfac9-3fda-47ba-8eb1-8b130f60b08c,Skirt
97074b7f-706a-4c17-b875-bd9baa5bed0e,Pants
e3c8e575-c5b8-4c4c-9f49-62b37b611b6b,Dress
534cb9e4-658e-48a9-a9d9-365149ee52e8,T-Shirt
e6a8b33f-279c-4072-8dba-229d94205e55,Dress
5805e9ba-176c-461b-87f7-ff400291d0fc,Longsleeve
be698ba0-7a2c-4f38-84ea-6223dc15854d,T-Shirt
a3e5af58-cc70-48b8-85f7-cd160ba95968,Shoes
8f6822c3-862b-4126-9a35-585569aec240,Longsleeve
84a4a5a4-fb02-4009-916d-7e82d65c3e12,Pants
30feae84-c7b1-4e72-8b42-0f7736d42cd5,Shoes
f968404d-6c3a-465e-9edd-347784880455,T-Shirt
f8b84112-9110-4628-91e8-9d22a13767f3,Skirt
c395de85-824c-4cbe-ad6b-ed80f5c15fb7,T-Shirt
5dc34a85-d7f8-45bc-b922-2eae1a704f4b,Shorts
4acdd295-b0b4-4991-a6cd-c9d2c322c347,T-Shirt
f2ae0355-82ec-4363-ac61-470d7f422a45,Undershirt
073f2d48-e363-474d-acbe-11103356e7e2,Pants
a283e901-d8da-4be1-91ae-2a3c94de48a2,Hat
30b6fd9b-d172-4d5d-a1c1-c36d23f769dd,Shoes
d8445328-a318-434b-9c4e-fa29cf04be41,Shirt
5f2c69cd-918b-4ee0-9e74-7fa12d5095ab,Shorts
c4f11a12-2fcd-4268-8045-5a00aec7e656,Pants
330f1f98-0d3d-4c64-bd82-518e6e157d08,T-Shirt
fb145f9c-024a-4177-ae55-4ef413756ee9,T-Shirt
e85b5945-e8d0-4049-84b4-22ff5907ec8e,Longsleeve
49d3b29c-54b9-4cae-b918-504cf24ce128,Shoes
d748ed88-9bf7-402e-98a9-7a4c65582e48,Shoes
29d44695-c6b6-4b76-8ac9-12032990ba5f,T-Shirt
4b8e5d41-3e12-4d2b-8634-e62e71d613ff,Dress
e912d309-20d4-44c1-887d-43c4e59c76be,T-Shirt
53e1ebfe-5216-4c95-b166-bee422a056f6,T-Shirt
8086c317-da42-48c2-bf29-d1d0063a78c7,T-Shirt
142c1548-ba32-4f34-9032-2ece7f8650ea,Undershirt
9a858530-6e0d-4bf0-8900-42055c64ddaf,Pants
600e6a2d-1177-4918-9760-610f2d89dc30,Pants
b61be122-02ff-4a32-8da9-d331cbcd3cce,Pants
21183cf1-c20b-4a86-8e86-ab5ca9b26c06,Longsleeve
4eec8a60-15db-46d0-86b4-04e3cd8e75f8,Longsleeve
09f4ffb6-ed86-42b6-ac23-6f8f2359460f,Shirt
46e76b5f-85cb-4dab-a45c-3c1ea74576f3,T-Shirt
87f0405b-bdea-4e8a-a0bf-5199dd1a158c,T-Shirt
54e4e91f-b255-4e2d-906f-c482432a7048,Hat
e94c0116-4bf1-4fc7-acc5-0710e208583e,Pants
d9e84490-185d-48f9-ac16-4ef3360616d5,Longsleeve
276db6ba-6a50-499f-8a3d-7ede222493df,Pants
9d433006-cfa0-41e8-8a5a-0d80d50a73e4,T-Shirt
9b4aa622-dab1-4d43-abc5-e736e0f600fc,Pants
cb61ac26-e7a5-42a6-8471-66f69a9ccd4d,Dress
fbb54104-ee0f-4180-9216-2696f9df52a5,T-Shirt
b7935371-743f-4ad4-9a48-fdb9d0bca9e4,Shoes
081b5ec1-13a6-43c8-991f-9ad2020f646a,Pants
21059bce-cf86-4064-b9af-5dbbbc6e7593,Dress
07349830-408d-42b7-baeb-35ad9a21c6bf,T-Shirt
740b1190-d0f7-4de4-9a7e-894f27c107a4,Undershirt
f7d4b8f0-9d80-40b7-a7d1-c2db6549ebea,Undershirt
bfb072bd-4378-47d5-ad94-e11e367fbdd0,Longsleeve
8b6ef17f-0669-40fa-935f-6a6e44fd348d,T-Shirt
f6cdc0f4-9615-4e0c-a22b-6972f6fb4e1a,Pants
ce5e1ff5-b923-462b-b897-c26d7c571ece,Polo
37ca3848-62c1-4e3c-a672-5627f2270c95,T-Shirt
7dc1ee94-a507-4160-96d4-276364e31c3c,Shoes
e218f9f6-f7c7-483e-bcd6-c50458c2a3bf,Undershirt
1a837d72-8a6b-487b-aa36-b3c2d19a8af5,Shorts
dd4a72e6-a2c8-48ec-8cee-07ca47282f58,Shorts
314125df-9112-48b9-9b5e-ad6c4130eee5,Shorts
334bc6ef-fc89-4226-90f3-dd63645ec845,Dress
f116a69b-3544-4ffd-8d7b-116def60fdab,Undershirt
e976a8f6-6731-485f-8a9a-2872a5208818,T-Shirt
4ef0dece-adfc-4036-ad34-922d607d4bd5,Blouse
64143c56-3c94-46c4-a96d-b594cf1bb110,Shorts
5909f313-edfd-4d94-9cdb-3a05e02bb926,T-Shirt
b6899eaa-fe32-4547-9217-05bbcb09c217,Hat
9e530520-3973-44d0-b630-e213c809b854,Skirt
598fb3d5-2ffc-44f1-af7a-1346edafc364,Shoes
1c4c974b-47b3-40bb-a3e2-913e4874dd75,Dress
b8fef860-a816-4c39-8811-11e0909bac51,T-Shirt
8b719bfa-919d-45c1-a83e-86ceec917c41,T-Shirt
f28fb711-b7bf-4d6e-9935-6970a311a14e,Dress
4dc09b5c-9009-4e75-8432-150b0fab4aac,Shoes
8d5b6ef2-bc6f-4364-a278-580a5d91c7d7,T-Shirt
f1c78283-2da0-45fc-8f20-4f874519d415,Dress
d3dae2c8-5333-4943-b709-2dca57bf9554,T-Shirt
51c73057-ed52-4bf3-afa8-34a015301565,Shoes
3fe20c87-2f09-459c-9b59-d4e9a07b361e,Pants
739bafaa-cce9-4322-b16c-21baac21a313,Hoodie
e2dfcb33-19ba-4c82-998b-66f125086e63,Shoes
c905b7cc-a17a-4c75-b451-87292b51f73a,Pants
8a7353cf-f8e3-4a73-b72e-239ed04d4e2d,Skirt
598090c2-f12f-4e60-9b23-d556a38117ad,Hoodie
f97dba0a-37f7-452b-9159-90d4d6757473,Pants
744c6ec1-4bdd-4836-8cec-833449eb2f00,Dress
e527e508-fe15-4369-a497-0134a03c755d,T-Shirt
2b64b726-ffca-44b1-a986-cc9fbdacf665,Pants
28455ee9-ca04-4efc-bb1f-73b56e6d2bd7,Blouse
e580170f-d447-4d58-ac33-3d40b3771c8f,Outwear
8ec6a809-a037-4f2e-b7a8-2361ad62a3af,T-Shirt
456578a1-8a2e-4906-85a4-c93ceef8c108,Shorts
08b939da-2a7f-46a3-8126-194e09432c3f,Hat
ea3e5f1b-6987-4b1e-88f9-03659eba4dc7,T-Shirt
01c5cb43-4ce1-4d08-8b71-c0a20ba94a63,Shoes
7e3b8120-6f91-4ddc-aa6f-cf49a5dc62aa,Longsleeve
2d6afa47-fd6f-4b2b-9e51-010280547753,Hat
b951618d-f10d-4c12-82a4-9b18ee12aa2c,Shirt
82878359-5004-44b9-8a93-6234169793a4,Dress
8b82657d-eb42-4468-a073-2513eb0d40f1,T-Shirt
349cf35c-eaad-49af-b0c9-3c88b8d0afc1,Longsleeve
ce507674-9092-4772-9c66-770d0ad18081,Undershirt
4cb4760c-7685-4aa7-9338-6ffbc011f353,Shoes
2fb12663-3f0a-407f-8bdf-e366d62d459a,T-Shirt
6b1ba174-b2af-4f56-9899-f258f994019a,Dress
dd262e49-9475-442f-aa1a-7eb21747ca24,Dress
2f0b7b04-c238-465b-8e7a-08fabec28223,Pants
490eee4d-d943-4090-af54-a6feee782ea9,Undershirt
223939a1-c2a0-41c7-8956-fb1b6370ebeb,Pants
3c5ff556-36e1-442e-8ae7-1b836067916d,Undershirt
708af227-43ba-4e2b-b35b-652a13cd1c77,Hat
f937d0b8-1c6f-432f-86a8-dac89c03b890,Polo
cc1540a6-7e3c-4b12-8e35-0bfb37259daa,Outwear
47ca3979-4cf9-4105-abf4-d9ad12fb5fa5,T-Shirt
9e61d8c2-aaf7-4d5e-b07e-804b082bcf88,Longsleeve
e396a61a-8045-4565-a6f1-a89cd5aab7f3,T-Shirt
396cdf47-f336-491c-919c-ae80cf1d02ba,Blazer
bc13e811-2e4f-43ed-859e-80de2745ed12,Shorts
05004de9-8929-45b4-92a6-c881be04e5cc,Longsleeve
af5c0e7c-d950-4e6f-88ac-642a41a27b75,Skirt
5008492c-339e-454c-b741-a676d22f1f5c,Blazer
0098b991-e36e-4ef1-b5ee-4154b21e2a92,Pants
afc40786-a90b-48ed-a78f-dfb8833d065d,Pants
0d3cf39f-78f1-440e-9504-f510e75aff0b,Dress
e69c6c4d-5c8f-4b4b-866d-7c3917ff2a5e,Dress
ae36221d-b2d9-4508-ac54-fc74951133b8,Longsleeve
724879a7-718d-4b77-b438-eb39ce612395,Pants
c6d71611-6bae-4645-8a93-959973e05f8b,Shirt
8f0c3bd9-5784-4268-b5ee-020122a0dcd3,Pants
63856971-1795-426b-b451-f32e16a74301,Longsleeve
980bcf05-03b4-4628-806e-fd141f92fe82,Longsleeve
ff231d91-0ff6-4485-98e7-a05c26f09fec,Outwear
44bf7760-a7c2-41c2-9eb4-1d12bd5c235c,Outwear
a9db59ad-5a9c-4c5d-9a5a-a8aed629cc23,Hat
42d817a7-45f8-4dfc-848f-a8cb124e1878,Outwear
9ff5041a-81d2-417c-b6a0-453a2b6b1052,Pants
c5b80186-15fa-4b9a-9ca4-88005b0db7bf,Blouse
1823c84a-dc6f-4edc-ae75-b54303132369,Longsleeve
6a2b8fc1-5485-467f-984d-ad532e852b52,Outwear
52889e96-b086-4375-92ba-9bd2ddb26fb9,Pants
68fc2f45-6c5d-4a57-a3e7-2f6a72a4c486,T-Shirt
35f5fecb-755a-45d6-ac3d-3feb8299dc87,Dress
d90835e2-e433-4c1b-a43f-4a6ba0f9617a,T-Shirt
5ab0c815-c152-4726-b540-42876b23c34a,Dress
9cc98501-cd54-446f-aabd-035eed242b9d,T-Shirt
7b081f03-1877-4352-aa72-9c993e434ff6,Dress
fd03284a-8027-42af-b8ee-7e14e41ace9b,Shoes
01f52917-7e92-4c47-8979-1ab9a41c96a8,Shoes
a8f54cff-a03e-4d7c-add1-ba46b83b43cd,Dress
cbfb5bb7-3b89-4976-9a8b-f7601f851d39,Outwear
22ee2330-a2e7-4abf-aec1-0699e819a248,Dress
c3eaa0a4-4c21-4960-949d-3bfbbd99beaf,Longsleeve
8fbc8ecb-186a-44a9-96e2-941b471c5beb,Undershirt
805a7767-cec7-4323-9a75-6c5c2024479d,Skirt
2df8bf1f-6d89-4acd-b6f6-9daec6b61b95,Polo
2ac96388-4353-44b6-a174-de2f2523afd1,Skirt
d30de8fc-5550-4c34-8c44-57051407352b,Shoes
66807c84-da44-4af2-b9be-3848a52a7073,Hat
0fe5eeb6-316f-4f60-b604-8a1b25e23433,Pants
f744c13f-1b8f-44ef-a45c-4b8e65771901,Shoes
a021443c-ab32-41ff-8df5-cf24f6c5402c,T-Shirt
3f144818-2c26-4038-b48c-763981cc5b49,Dress
3e5a1cd5-b9eb-4f6b-b840-2a17f97c3712,Polo
ae2a9947-7009-40ab-b7ad-0434e73eb2f3,Shoes
71e8c881-2aee-4078-b49e-196d7881880e,Longsleeve
26fca408-4412-466b-972a-3a160051534a,Hat
4e6276b7-564c-4a32-9218-13cfc9148263,Pants
9e19f45b-b7d4-4988-948b-0bcda7d83df7,Longsleeve
76649754-ab0b-44ef-a9b6-8f42f7e91047,Shoes
bc492f26-f7d2-4065-92fb-65b6df7b4ea5,Shirt
39f48611-8f45-4c3d-956f-03490892aaa9,T-Shirt
a5ff9c3a-272f-4f7e-9cb9-e6d848dc4c2c,T-Shirt
ff80d9e2-25d5-4e0f-8326-00c49df42199,Undershirt
7d2cef93-2a52-4462-9b3c-4571c7cf3e0a,T-Shirt
4997d170-1266-4b3b-9a16-37322c9fb2ba,Longsleeve
d97a270c-9349-45f7-a06f-dfaf4f17c495,T-Shirt
a193e3ee-7c35-41d9-b3a2-86b6ee76e231,Undershirt
7ee4f3fd-6dc3-4b71-901f-9ccbbf8cad80,Outwear
a685a9b1-c4af-4302-be13-27ef25d178b5,Pants
52a47d7f-8a47-4c57-8d72-d269d8106aa2,Shorts
157f5e09-784d-45c8-a6bd-6029920ef0fd,Shorts
8b0be452-c7d4-4c58-828d-88c70efcb0e5,Undershirt
3da1c365-4f2c-4411-b34c-f0247232fcd7,T-Shirt
1ffb85c6-dbf3-4a01-8e62-49c0be6f0d59,T-Shirt
3f76d021-c94f-499f-9607-8f24fa1e526b,Pants
49eb3fa7-099d-45e8-88b0-35b60b42e386,Pants
ba510e07-0c92-4764-9b4f-d9b12560d1f6,Pants
